Technology,Number_of_Jobs
apparel merchandising,2
apparels,3
appcelerator,2
appdynamic,6
appdynamics,5
appeals,3
appian,3
appium,31
apple,11
apple configurator,1
apple dep,1
applets,1
appliances,23
application,1468
application architect,41
application architecture,37
application deployment,8
application design,44
application designer,1
application designing,22
application developer,17
application developer:,1
application development,448
application development framework,1
application engine,27
application engineer,22
application engineering,17
application integration,28
application lead,4
application lifecycle management,5
application maintenance,2
application management,14
application monitoring,6
application packages,1
application packaging,14
application performance management,2
application programmer,1
application programming,48
application sales,1
application security,40
application security testing,3
application server,17
application servers,2
application software,71
application software support,3
application support,121
application support engineer,1
application testing,26
applications,391
applications design,1
applications development,2
applications security,3
applications support,6
appoint,19
appplication security,1
appraisal,38
appraisals,1
approvals,2
apps dba,12
appscan,4
apqp,3
apr,28
aptech,1
apttus,1
aqa,2
aquaculture,2
ar,10097
ar analyst,2
ar associate,3
ar billing,1
ar caller,15
ar callers,2
ar calling,27
ar executive,2
ar system,2
ar&d,1
arabic,1
arbitrage,2
arbitration,4
arbor,1
arc welding,1
arcgis,9
arcgis desktop,1
archi,865
archicad,1
architect,827
architecting,20
architects,36
architectural,70
architectural design,68
architecture,563
architecture design,2
architectures,4
archiving,16
arcsight,2
area,209
area business development executive,1
area business manager,10
area growth manager,1
area head,6
area management,10
area manager,21
area manager sales & marketing,1
area sales,164
area sales executive,9
area sales management,52
area sales manager,56
area sales officer,3
area supervisor,1
area training manager,1
argus,1
ariba,14
ariba contracts,1
ariba sourcing,1
arima,3
arizona,5
arm,448
arm 7,1
arm processor,3
arm7,1
army,3
army retired,1
aroma,1
aromatic oil,1
arp,17
arrivals,7
art,737
art & craft teacher,1
art direction,1
art director,12
art teacher,1
art work,4
article,69
article clerk,1
article submission,7
article submissions,2
article writing,19
articles,45
articleship,5
articulate storyline,4
artifactory,2
artifical intelligence,1
artificial intelligence,66
artist,14
arts,62
artwork,5
artworks,2
as2,2
as3,2
as400,13
as9100,1
asa,78
asa firewall,2
asap,1
asce,3
ascp,3
ase,1353
asic,184
asic design,9
asic physical design engineer,1
asic verification,5
asics,1
asm,28
asme,1
asnt,1
asp,643
asp . net,5
asp .net,12
asp dot net,10
asp dot net azure,1
asp dotnet,5
asp net,61
asp net 2 0,4
asp net c,5
asp net mvc,4
asp net with c,1
asp.net,500
asp.net ajax,6
asp.net azure,1
asp.net developer,12
asp.net framework,1
asp.net mvc,143
asp.net mvc developer,1
asp.net programmer,2
aspdotnet azure,1
aspects,4
aspen,2
asr,1
assay,1
assembler,2
assemblers,1
assembling,2
assembly,232
assembly language,213
assembly line,1
assembly process,1
assembly production,1
assembly programming,1
assembly shop,2
assertive,1
assessing,1
assessment,78
asset,373
asset & liability management,1
asset accounting,11
asset coordinator,3
asset liability management,2
asset management,275
asset servicing,14
assets,64
assignment,1
assistance,32
assistant administrator,1
assistant branch manager,13
assistant brand manager,1
assistant cafe manager,2
assistant company secretary,3
assistant designer,1
assistant director,2
assistant event manager,1
assistant executive,1
assistant fashion designer,1
assistant general manager,4
assistant general manager marketing,1
assistant manager,71
assistant manager (corporate sales),1
assistant manager - quality,1
assistant manager accounts,6
assistant manager business development,1
assistant manager channel sales,1
assistant manager collections,1
assistant manager commercial,1
assistant manager electrical,1
assistant manager finance,4
assistant manager housekeeping,1
assistant manager hr,11
assistant manager logistics,1
assistant manager marketing,2
assistant manager operations,9
assistant manager purchase,3
assistant manager quality,2
assistant professor,13
assistant professor- civil engineering (ce).,1
assistant professor- fashion & design,1
assistant professor- hospitality,1
assistant professor- pharmacy,1
assistant professor- town planning,1
assistant project manager,2
assistant restaurant manager,9
assistant sales manager,13
assistant steward,1
assistant store manager,5
assistant teacher,1
assistant vice president,2
associate,326
associate - retail process,1
associate 1,1
associate branch manager,1
associate content writer,1
associate director,2
associate editor,1
associate executivesupervisorcce,1
associate financial analyst,1
associate ii,1
associate investment banking,2
associate manager,2
associate manager / manager data scientist,1
associate operations,2
associate partner,10
associate professor,11
associate professor - accounting,2
associate professor - finance,2
associate professor- applied sciences,1
associate professor- medical & allied sciences,1
associate professor-applied science department,1
associate recruiter,1
associate sales manager,1
associate vice president,5
associate vice president sales,1
assortment planning,1
asst manager,1
assurance,315
assurance manager,1
asterisk,6
astm,5
at,15898
at&t,2
atg,8
atg commerce,2
atg dynamo,2
athena,2
atl,92
atl btl,1
atl com,2
atlas,1
atm,41
atm engineer,1
atm operations,1
atmel,1
atoll,1
atpg,13
ats,9
atsc,1
atta,2
attendance,44
attendance maintenance,3
attendance management,12
attendant,10
attendant staff - male / female,1
attention to detail,4
attention to detail. good analyticalskills,1
attrition,10
attrition management,8
audio,31
audio codec,1
audio content analyst,1
audio editing,4
audio video,2
audio visual,4
audit,669
audit assistant,1
audit associate,1
audit compliance,33
audit documentation,3
audit executive,4
audit firm,1
audit management,5
audit manager,3
audit planning,2
audit preparation,1
audit processes,1
audit report,6
auditing,453
auditor,34
auditors,3
audits,7
augmented reality,3
australia,11
australia shift,1
australian,8
australian shifts,1
authentication,3
author,12
authoring,1
authorization,4
autmation testing,1
auto,1284
auto - desk maya,1
auto ancillary,4
auto cad,9
auto cadd,4
auto coding,1
auto components,1
auto industry,3
auto loan,13
auto loans,11
auto parts,5
auto sales,3
autocad,166
autocad 2d,10
autocad 3d,3
autocad drafting,4
autocad draftsman,2
autocad drawing,3
autocad engineer,2
autocad operator,1
autocoding,1
autodesk,13
autodesk 3ds max,2
autodesk inventor,2
autodesk maya,3
automated testing,1
automation,871
automation anywhere,10
automation engineer,8
automation engineering,6
automation framework,49
automation project engineering,1
automation selenium,1
automation systems,3
automation test engineer,2
automation test lead,1
automation tester,2
automation testing,182
automation tools,30
automobile,83
automobile components,11
automobile engineering,12
automobile parts,1
automobile production,5
automobile sales,11
automobile service,1
automotive,125
automotive design,1
automotive electronics,1
automotive embedded systems,1
automotive engineering,1
automotive infotainment,5
automotive lighting,1
automotive sales,1
autoplant,1
autosar,25
autosys,2
autotitrator,2
av,4022
avamar,4
avaya,5
avaya cms,1
aviation,42
aviation management,1
aviation process,1
aviation trainer,1
avid,2
avionics,4
aviva,1
avp,7
avp hr,1
awareness,52
awk,7
awr,3
aws,346
aws etc,1
aws services,1
awt,1
ax,1132
ax 2012 ax x developer with good communication,1
ax technical consultant,1
axapta,7
axi,14
axis,2
axure,8
ayurveda,2
ayurvedic,4
ayurvedic doctor,1
azur,171
azure,170
azureservice bus,1
b,15721
b 2 collection,1
b a graduate,1
b architect,2
b com fresher,5
b com graduate,1
b e,10
b sc,19
b service,493
b tech,816
b tech fresher,3
b tech graduate,1
b tech student,2
b to b,1
b.a,11
b.a freshers,3
b.a.m.s,1
b.b.a,1
b.com,19
b.com freshers,4
b.e,17
b.e mechanical,3
b.e.,3
b.ed,2
b.s.c fresher,1
b.sc,5
b.tech,45
b1,12
b2,539
b2b,391
b2b business development,1
b2b collection,3
b2b collections,1
b2b gifting,1
b2b marketing,29
b2b packaging,5
b2b recovery,1
b2b sales,227
b2c,103
b2c collections,1
b2c marketing,6
b2c sales,54
ba,3398
ba be study,1
ba english,2
ba fresher,90
ba graduate,2
ba qa,1
baan,2
baby care,2
back - end database,1
back - office processing,3
back end,4
back end processing,1
back office,321
back office assistant,5
back office coordinator,1
back office executive,45
back office executive computer,1
back office management,1
back office operations,31
back office ops,1
back office process,19
back office processing,17
back office staff,1
back office support,11
backbone.js,18
backend,342
backend developer,1
backend executive,1
backend operation,32
backend operations,32
backend ops,1
backend process,2
background check,1
background screening,3
background verification,16
backup,24
backup management,1
badi,17
badis,6
bag filters,1
bags,1
bakery,8
bakery chef,3
balance,147
balance sheet,139
balance sheet analysis,2
balance sheet finalisation,10
bam,29
bamboo,11
bams,17
banca,54
banca sales,3
bancassurance,43
bancassurance officer,1
bancassurance sales,15
bangalore,12
bank,856
bank accounting,4
bank assurance,1
bank audit,1
bank backend,1
bank book,1
bank guarantee,3
bank job,1
bank loan,1
bank position,1
bank reconciliation,70
bank reconciliation statement,8
bank reconciliations,1
bank reconcilliation,1
bank transaction,1
banker,9
bankers,1
banking,786
banking collection,3
banking domain,3
banking laws,1
banking operations,37
banking process,8
banking products,34
banking sales,46
banking software,3
banks,2
banners,16
banquet,13
banquet manager,1
banquet sales,9
banquet sales executive,1
banquets,3
bapi,16
bapis,4
bar,34
bar assistant manager,1
bar manager,1
barclays,18
barcode,1
barista,3
bartender,2
base,797
base sas,7
base24,2
basel,3
basel iii,1
bash,29
bash scripting,5
basic,144
basic computer,3
basic computer knowledge,1
basis,30
basis administration,8
basketball,2
batch management,2
batch manufacturing,2
batch planning,1
batch process,4
batch processing,3
batch script,1
bath fittings,2
bathroom fittings,2
battery,3
bawal,1
bba,94
bba fresher,21
bba freshers,1
bba graduate,1
bbi,20
bbm,21
bbm fresher,3
bbm freshers,1
bc,306
bca,82
bca fresher,13
bca freshers,1
bcg analyst,1
bcom,103
bcom fresher,6
bcom freshers,3
bcom graduates,1
bcp,8
bcs,2
bd,307
bd executive,2
bda,3
bdc,5
bdd,1
bde,93
bdm,116
bdo,5
bds,14
be,1238
be.btech,1
beacon,2
beautician,1
beauty,6
beauty advisor,1
beauty products,1
beauty therapist,2
bed,186
beer,2
behavioral trainer,1
behavioral training,1
behavioural skills,2
behavioural training,4
belts,1
bench management,4
bench sales,9
benchmarking,5
bending machine,2
benefits,52
benefits administration,2
bengali,14
bentley,1
bet,10
beverage,18
bex analyzer,1
bfa,3
bfsi,105
bfsi domain,1
bfsi recruitment,4
bfsi sales,26
bfw,2
bg,22
bgp,17
bhm,33
bhms,20
bhms doctor,1
bi,1666
bi architect,1
bi developer,3
bi publisher,4
bics,1
bid,107
bid evaluation,2
bid management,20
bid manager,3
bid preparation,1
bid process,1
bid writing,1
bidding,88
bids,1
big data,179
big data analyst,1
big data analytics,15
big4,9
bigfix,2
bil,934
bill,227
bill checking,3
bill of material,1
bill passing,3
bill processing,2
billing,216
billing engineer,5
billing engineering,2
billing executive,8
billing.,1
bills,6
bills payable,5
bim,9
bio - medical,1
bio tech,2
bioanalytical,3
bioanalytical qa,1
biochemistry,71
bioinformatics,24
biologics,1
biology,96
biology teacher,1
biomedical,61
biomedical engineer,2
biometrics,12
bios,8
biostatistics,2
biotech,82
biotechnology,81
birla sun life,1
birt,1
biscuit,4
biscuits,3
bist,3
bitbucket,2
bits,1
bits pilani,1
biw,3
biz talk,1
biztalk,14
biztalk developer,2
biztalk server,3
bl,2061
black,49
black belt,20
black box,10
black box testing,5
blackbelt,2
